"beach_idn","beach","city","region","number.of.surveys.BB","most.recent.survey.BB","number.of.surveys.MD","most.recent.survey.MD","latitude","longitude","turn_latitude","turn_longitude","monitored","blength","bb.stat","smd.stat","lmd.stat","last3tag","bbn12","lmdn12","mmdn12","smdn12","bb.col","smd.col","lmd.col"
167,"Land's End","Homer","Gulf of Alaska",12,"2019-07-26",0,NA,59.601152,-151.421809,59.601546,-151.410249,TRUE,0.8,2,1,1,"15; 16; 14",12,0,0,0,"Currently monitored","Available","Available"
659,"Hogan Bay","","Gulf of Alaska",0,"2013-06-21",0,NA,60.202611,-147.764,60.197556,-147.766056,TRUE,0.5,1,1,1,"1",0,0,0,0,"Available","Available","Available"
158,"Kenai North","Kenai","Gulf of Alaska",5,"2019-07-05",0,"2018-06-12",60.551821,-151.275242,60.559443,-151.295886,TRUE,1.5,2,1,1,"13; 13; 12",5,0,0,0,"Currently monitored","Available","Available"
141,"Homer Spit Middle","Homer","Gulf of Alaska",9,"2019-06-02",0,NA,59.608085,-151.439068,59.61627,-151.453826,TRUE,0.8,2,1,1,"70; 69; 68",9,0,0,0,"Currently monitored","Available","Available"
512,"Roslyn Beach","Kodiak","Gulf of Alaska",0,"2017-08-30",0,NA,57.627215,-152.326793,57.618023,-152.30955,TRUE,1.55,1,1,1,"3; 2; 1",0,0,0,0,"Available","Available","Available"
520,"Pasagshak Beach","Kodiak","Gulf of Alaska",1,"2018-08-25",0,"2018-08-04",57.466439,-152.471022,57.468872,-152.48738,TRUE,1.03,2,1,1,"0; 0; 0",1,0,0,0,"Currently monitored","Available","Available"
783,"Buskin River","Kodiak","Gulf of Alaska",10,"2019-03-25",0,NA,57.756597,-152.48332,57.764207,-152.474023,TRUE,1,2,1,1,"1; 98; 97",10,0,0,0,"Currently monitored","Available","Available"
11,"Barge Basin North Bc","Homer","Gulf of Alaska",3,"2019-06-28",0,NA,59.616464,-151.452493,59.625048,-151.467707,TRUE,2,2,1,1,"803; 99; 98",3,0,0,0,"Currently monitored","Available","Available"
256,"Pederson Peninsula","Kenai Fjords National Park","Gulf of Alaska",2,"2019-06-12",0,NA,59.8839,-149.71706,59.88014,-149.72784,TRUE,0.7,2,1,1,"409; 408; 407",2,0,0,0,"Currently monitored","Available","Available"
491,"Anchor River State Recreation Area","Homer","Gulf of Alaska",0,"2016-06-21",0,NA,59.774293,-151.867112,59.75685,-151.86149,TRUE,2,1,1,1,"20; 13; 12",0,0,0,0,"Available","Available","Available"
219,"Northwestern Spit","Kenai Fjords National Park","Gulf of Alaska",3,"2019-08-01",0,NA,59.71129,-149.74113,59.7152,-149.73622,TRUE,1.8,2,1,1,"46; 41; 40",3,0,0,0,"Currently monitored","Available","Available"
589,"Hallo","Kukak","Gulf of Alaska",4,"2019-07-08",0,NA,58.45671,-154.0737,58.44767,-154.07214,TRUE,1,2,1,1,"2; 1; 6",4,0,0,0,"Currently monitored","Available","Available"
633,"Holiday Beach","Kodiak","Gulf of Alaska",9,"2019-06-30",0,NA,57.683264,-152.470053,57.687533,-152.476347,TRUE,0.6,2,1,1,"52; 51; 50",9,0,0,0,"Currently monitored","Available","Available"
774,"O'Brien Creek Beach","Chenega","Gulf of Alaska",0,"2015-09-07",0,NA,60.07185,-147.99905,60.0704,-147.99316667,TRUE,0.5,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
23,"Bishop's Beach Mid","Homer","Gulf of Alaska",0,"2018-05-26",0,NA,59.639592,-151.559692,59.637465,-151.540335,TRUE,1,1,1,1,"10; 54; 56",0,0,0,0,"Available","Available","Available"
880,"Little Egg Island North","Cordova","Gulf of Alaska",1,"2018-08-17",0,NA,60.42,-146.035,60.418106,-146.018434,TRUE,0.96561,2,1,1,"2; 1",1,0,0,0,"Currently monitored","Available","Available"
259,"Peterson Bay","Homer","Gulf of Alaska",3,"2018-10-06",0,NA,59.578846,-151.305844,59.575351,-151.294255,TRUE,1,1,1,1,"21; 20; 18",3,0,0,0,"Available","Available","Available"
863,"Neptune Bay","Homer","Gulf of Alaska",6,"2019-07-18",0,NA,59.5468,-151.41488,59.541467,-151.399483,TRUE,1,2,1,1,"80",6,0,0,0,"Currently monitored","Available","Available"
168,"Landing Cove Chowiet","Chowiet Island","Gulf of Alaska",0,"2017-08-29",0,NA,56.037197,-156.7403,56.0363,-156.738747,TRUE,0.1,2,1,1,"3; 2; 1",0,0,0,0,"Currently monitored","Available","Available"
418,"Spruce Cape","Kodiak","Gulf of Alaska",8,"2019-03-27",0,NA,57.825035,-152.327105,57.821144,-152.32717,TRUE,0.5,2,1,1,"75; 74; 73",8,0,0,0,"Currently monitored","Available","Available"
521,"Gibson Cove","Kodiak","Gulf of Alaska",0,"2016-02-28",0,NA,57.772688,-152.454024,57.773019,-152.45895,TRUE,0.49,2,1,1,"11; 10; 9",0,0,0,0,"Currently monitored","Available","Available"
835,"Kasilof Mouth South","Cohoe","Gulf of Alaska",3,"2019-07-13",0,NA,60.382747,-151.321859,60.388239,-151.310125,TRUE,0.97,2,1,1,"",3,0,0,0,"Currently monitored","Available","Available"
7,"Anchor River S","Homer","Gulf of Alaska",13,"2019-08-01",0,NA,59.77441,-151.867267,59.79444,151.85417,TRUE,2.2,2,1,1,"91; 90; 99",13,0,0,0,"Currently monitored","Available","Available"
419,"White Sands","Kodiak","Gulf of Alaska",0,"2016-06-15",0,NA,57.840662,-152.441857,57.840374,-152.446573,TRUE,0.3,1,1,1,"7; 6; 5",0,0,0,0,"Available","Available","Available"
132,"Harbor Mouth","Homer","Gulf of Alaska",12,"2019-07-26",0,NA,59.602031,-151.411677,59.603621,-151.416199,TRUE,0.4,2,1,1,"106; 105; 104",12,0,0,0,"Currently monitored","Available","Available"
621,"Mayflower Beach","Kodiak","Gulf of Alaska",8,"2019-05-24",0,NA,57.646892,-152.437933,57.651366,-152.43929,TRUE,0.55,2,1,1,"46; 45; 44",8,0,0,0,"Currently monitored","Available","Available"
845,"South Bay","","Gulf of Alaska",0,"2016-08-26",0,NA,60.668761,-147.930643,NA,NA,TRUE,0.58,2,1,1,"2; 1",0,0,0,0,"Currently monitored","Available","Available"
723,"Boswell South","Cordova","Gulf of Alaska",0,"2014-06-06",0,NA,60.380431,-146.088296,60.359725,-146.196969,TRUE,7.26,1,1,1,"",0,0,0,0,"Available","Available","Available"
894,"West Mummy","Cordova","Gulf of Alaska",4,"2019-02-11",0,NA,60.46467,-146.01986,60.46117,-146.01334,TRUE,1,2,1,1,"52; 51",4,0,0,0,"Currently monitored","Available","Available"
895,"North Mummy","Cordova","Gulf of Alaska",4,"2019-02-11",0,NA,60.46611,-146.00817,60.46364,-145.99782,TRUE,1,2,1,1,"",4,0,0,0,"Currently monitored","Available","Available"
192,"Mariner Park","Homer","Gulf of Alaska",9,"2019-07-29",0,NA,59.635217,-151.513739,59.630478,-151.492403,TRUE,1.3,2,1,1,"24; 230; 23",9,0,0,0,"Currently monitored","Available","Available"
473,"Puale Bay 2","Kodiak","Gulf of Alaska",0,"2014-09-11",0,NA,57.70706,-155.63422,57.69963,-155.63097,TRUE,1.29,2,1,1,"2",0,0,0,0,"Currently monitored","Available","Available"
298,"Seward Waterfront","Seward","Gulf of Alaska",0,"2017-10-10",0,NA,60.104666,-149.43355,60.11227,-149.43656,TRUE,0.9,1,1,1,"3; 2; 1",0,0,0,0,"Available","Available","Available"
221,"NW Cold Bay","Cold Bay","Gulf of Alaska",0,"2010-10-10",0,NA,55.231725,-162.720724,55.219931,-162.72446,TRUE,1.4,1,1,1,"5; 4; 3",0,0,0,0,"Available","Available","Available"
49,"Cold Bay - Dock S","Cold Bay","Gulf of Alaska",0,"2010-05-11",0,NA,55.204517,-162.702933,55.196117,-162.697883,TRUE,1.4,1,1,1,"304; 303; 302",0,0,0,0,"Available","Available","Available"
590,"North Hallo","Kukak","Gulf of Alaska",4,"2019-07-08",0,NA,58.45671,-154.0737,58.46572,-154.07587,TRUE,1,2,1,1,"1; 1; 3",4,0,0,0,"Currently monitored","Available","Available"
567,"Hartney Bay North","Cordova","Gulf of Alaska",0,"2014-11-12",0,NA,60.49565,-145.871417,60.504033,-145.861617,TRUE,1.2,2,1,1,"22; 6; 5",0,0,0,0,"Currently monitored","Available","Available"
200,"Miller's Landing","Homer","Gulf of Alaska",10,"2019-07-25",0,NA,59.666673,-151.436837,59.670803,-151.423827,TRUE,1,2,1,1,"15; 14; 13",10,0,0,0,"Currently monitored","Available","Available"
896,"Goose Cove","Cordova","Gulf of Alaska",5,"2019-03-19",0,NA,60.44614,-145.88916,NA,NA,TRUE,1,2,1,1,"",5,0,0,0,"Currently monitored","Available","Available"
682,"Outer Outside Bay","","Gulf of Alaska",0,"2012-07-19",0,NA,60.650095,-147.43774,60.651143,-147.440004,TRUE,1,1,1,1,"2; 1",0,0,0,0,"Available","Available","Available"
146,"James Lagoon","Kenai Fjords National Park","Gulf of Alaska",2,"2019-07-09",0,NA,59.561091,-150.41023,59.562061,-150.39806,TRUE,1.6,2,1,1,"111; 110; 109",2,0,0,0,"Currently monitored","Available","Available"
893,"East Mummy","","Gulf of Alaska",4,"2019-02-11",0,NA,60.4611,-146.01298,60.46313,-145.99353,TRUE,1.5,2,1,1,"",4,0,0,0,"Currently monitored","Available","Available"
522,"Mill Bay","Kodiak","Gulf of Alaska",0,"2014-05-13",0,NA,57.819372,-152.350934,57.821377,-152.354953,TRUE,0.35,1,1,1,"21",0,0,0,0,"Available","Available","Available"
617,"Ram Site","Kodiak","Gulf of Alaska",11,"2019-06-04",0,NA,57.83052,-152.365073,57.828283,-152.3781,TRUE,0.8,2,1,1,"85; 84; 83",11,0,0,0,"Currently monitored","Available","Available"
803,"Ninilchik South","Ninilchik","Gulf of Alaska",0,"2016-07-06",0,NA,60.054504,-151.665516,60.042688,-151.67912,TRUE,1.52,1,1,1,"",0,0,0,0,"Available","Available","Available"
610,"Marina Cordova","Cordova","Gulf of Alaska",1,"2018-12-29",0,NA,60.532231,-145.78723,60.527519,-145.79378,TRUE,0.7,2,1,1,"105; 104; 103",1,0,0,0,"Currently monitored","Available","Available"
514,"Mission Lake Beach","Kodiak","Gulf of Alaska",6,"2019-06-26",0,NA,57.799637,-152.36837,57.79735,-152.373144,TRUE,0.43,2,1,1,"2; 0; 2",6,0,0,0,"Currently monitored","Available","Available"
834,"Kenai River Mouth North","Kenai","Gulf of Alaska",0,NA,0,NA,60.551451,-151.274473,60.55013,-151.26221,TRUE,0.77,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
913,"Kincaid South","Anchorage ","Gulf of Alaska",0,NA,0,NA,61.15275,-150.06912,61.14844,-150.05315,TRUE,1,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
24,"Bishop's Beach West","Homer","Gulf of Alaska",11,"2019-07-01",11,"2019-07-01",59.642446,-151.584811,59.639592,-151.559692,TRUE,1.2,2,1,1,"41; 40; 10",11,1,11,10,"Currently monitored","Available","Available"
908,"Chinitna Bay","","Gulf of Alaska",2,"2019-07-17",0,NA,59.88245,-153.0388,59.86114,-153.1394,TRUE,6.2,2,1,1,"",2,0,0,0,"Currently monitored","Available","Available"
179,"Lowell Point South","Seward","Gulf of Alaska",0,"2016-01-07",0,NA,60.064952,-149.442601,60.071048,-149.435493,TRUE,1,2,1,1,"21; 2; 2",0,0,0,0,"Currently monitored","Available","Available"
307,"South Beach Chowiet","Chowiet Island","Gulf of Alaska",0,"2017-08-26",0,NA,56.024119,-156.716461,56.023536,-156.71964,TRUE,0.2,2,1,1,"30; 10; 10",0,0,0,0,"Currently monitored","Available","Available"
178,"Lowell Point North","Seward","Gulf of Alaska",9,"2019-07-12",0,NA,60.075202,-149.439086,60.071048,-149.435493,TRUE,0.3,2,1,1,"",9,0,0,0,"Currently monitored","Available","Available"
637,"Orca Cannery","Cordova","Gulf of Alaska",1,"2019-01-13",0,NA,60.578462,-145.721723,60.580411,-145.718343,TRUE,0.33,2,1,1,"",1,0,0,0,"Currently monitored","Available","Available"
784,"Buskin Glass Beach","Kodiak","Gulf of Alaska",8,"2019-03-31",0,NA,57.767008,-152.469318,57.768446,-152.467477,TRUE,0.1,2,1,1,"999; 94; 90",8,0,0,0,"Currently monitored","Available","Available"
472,"Puale Bay 1","Kodiak","Gulf of Alaska",0,"2017-08-13",0,NA,57.73733,-155.62286,57.70706,-155.63422,TRUE,3.61,2,1,1,"7; 6; 5",0,0,0,0,"Currently monitored","Available","Available"
34,"Buldir Is Transect C","Buldir Island","Aleutian Islands",1,"2018-08-19",0,NA,52.371266,-184.109767,52.373029,-184.095765,TRUE,1,2,1,1,"147; 146; 144",1,0,0,0,"Currently monitored","Available","Available"
249,"Oystercatcher Beach","Kasatochi Island","Aleutian Islands",0,"2007-08-16",0,NA,52.171465,-175.516799,NA,NA,TRUE,0.5,1,1,1,"54; 517; 2",0,0,0,0,"Available","Available","Available"
35,"Buldir Is Transect D","Buldir Island","Aleutian Islands",0,"2010-08-21",0,NA,52.35027,-184.045084,52.34363,-184.04967,TRUE,1,2,1,1,"815; 814; 813",0,0,0,0,"Currently monitored","Available","Available"
625,"Dutch Harbor Spit","Dutch Harbor","Aleutian Islands",0,"2017-12-06",0,NA,53.913053,-166.503629,53.897162,-166.515326,TRUE,1.94,1,1,1,"4; 3; 2",0,0,0,0,"Available","Available","Available"
260,"Petrel Cove","Aiktak Island","Aleutian Islands",0,"2014-06-10",0,NA,54.178006,-164.83996,NA,NA,TRUE,0.1,1,1,1,"8; 13; 12",0,0,0,0,"Available","Available","Available"
119,"Grand-WaterTreatment","Dutch Harbor","Aleutian Islands",0,"2007-09-10",0,NA,53.885404,-166.553632,53.879197,-166.559243,TRUE,0.8,1,1,1,"",0,0,0,0,"Available","Available","Available"
253,"Palisades","Adak","Aleutian Islands",0,"2013-09-13",0,NA,51.915454,-176.571708,51.908169,-176.594272,TRUE,2.3,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
869,"Summer Bay Beach","Unalaska","Aleutian Islands",0,"2017-10-12",0,NA,53.8988,-166.4651,53.8977,-166.4572,TRUE,0.53,1,1,1,"",0,0,0,0,"Available","Available","Available"
32,"Buldir Is Transect A","Buldir Island","Aleutian Islands",1,"2018-08-19",0,NA,52.375295,-184.129155,52.371411,-184.118128,TRUE,0.8,2,1,1,"104; 103; 102",1,0,0,0,"Currently monitored","Available","Available"
33,"Buldir Is Transect B","Buldir Island","Aleutian Islands",1,"2018-08-19",0,NA,52.371411,-184.118128,52.371266,-184.109767,TRUE,0.5,2,1,1,"126; 125; 124",1,0,0,0,"Currently monitored","Available","Available"
228,"Old Camp-New","Aiktak Island","Aleutian Islands",2,"2018-08-23",0,NA,54.188528,-164.837958,54.183797,-164.845672,TRUE,1.3,1,1,1,"5; 4; 3",2,0,0,0,"Available","Available","Available"
627,"Front Beach Unalska","Unalaska","Aleutian Islands",0,"2013-07-26",0,NA,53.87762,-166.538278,53.872966,-166.524588,TRUE,1.07,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
870,"Humpy Cove Beach","Unalaska","Aleutian Islands",0,"2017-12-25",0,NA,53.9045,-166.4434,53.9019,-166.4452,TRUE,0.32,1,1,1,"",0,0,0,0,"Available","Available","Available"
626,"Little South America","Dutch Harbor","Aleutian Islands",2,"2018-08-28",0,NA,53.87737,-166.565699,53.871458,-166.560561,TRUE,0.81,2,1,1,"999; 14; 3",2,0,0,0,"Currently monitored","Available","Available"
725,"Morris Cove","","Aleutian Islands",1,"2018-09-27",0,NA,53.912367,-166.436444,53.923742,-166.436228,TRUE,1.72,2,1,1,"999; 998; 997",1,0,0,0,"Currently monitored","Available","Available"
36,"Buldir Is Transect E","Buldir Island","Aleutian Islands",0,"2014-08-17",0,NA,52.370668,-184.076445,52.36732,-184.052559,TRUE,1.4,2,1,1,"4; 1; 33",0,0,0,0,"Currently monitored","Available","Available"
207,"NE Neumann Island","Cold Bay","Bering Sea",0,"2009-12-12",0,NA,55.41328,-162.70125,55.40814,-162.72076,TRUE,1.3,1,1,1,"243; 242; 242",0,0,0,0,"Available","Available","Available"
862,"Mile 25 Council Rd","Nome","Bering Sea",0,"2017-06-12",0,NA,64.49138889,-164.65638889,64.49516667,-164.63861111,TRUE,0.95,1,1,1,"21; 20; 19",0,0,0,0,"Available","Available","Available"
20,"Benson Beach North","St Paul","Bering Sea",18,"2019-07-18",0,NA,57.232461,-170.118007,57.226608,-170.131214,TRUE,1,2,1,1,"0; 0; 0",18,0,0,0,"Currently monitored","Available","Available"
43,"Cape Glazenap","Cold Bay","Bering Sea",0,"2009-12-13",0,NA,55.24669,-163.00694,55.2372,-163.0201,TRUE,1.3,1,1,1,"97; 96; 95",0,0,0,0,"Available","Available","Available"
860,"Cape Nome","Nome","Bering Sea",0,"2017-06-13",0,NA,64.43527778,-165.01083333,64.43722222,-165.0225,TRUE,0.61,1,1,1,"25; 24; 23",0,0,0,0,"Available","Available","Available"
321,"Staraya Artil","St George","Bering Sea",0,"2018-07-23",0,NA,56.604218,-169.609128,NA,NA,TRUE,0.9,1,1,1,"2; 1; 30",0,0,0,0,"Available","Available","Available"
740,"Naknek Beach","Naknek","Bering Sea",4,"2019-07-31",0,NA,58.73727,-157.06467,58.746207,-157.065066,TRUE,1,2,1,1,"0; 0; 0",4,0,0,0,"Currently monitored","Available","Available"
669,"Hall Island","Hall Island","Bering Sea",0,"2012-08-02",0,NA,60.64993,-173.06128,60.64096,-173.05292,TRUE,1.1,1,1,1,"",0,0,0,0,"Available","Available","Available"
433,"East Beach","Nome","Bering Sea",4,"2019-05-23",0,NA,64.488784,-165.342679,64.484569,-165.308752,TRUE,1.77,2,1,1,"45; 44; 43",4,0,0,0,"Currently monitored","Available","Available"
859,"Bonawza Channel","Nome","Bering Sea",0,"2017-06-14",0,NA,64.54306,-164.43556,64.548222,-164.405917,TRUE,1.56,1,1,1,"30; 29; 28",0,0,0,0,"Available","Available","Available"
839,"East End","Nome","Bering Sea",2,"2019-06-13",0,NA,64.492887,-165.375876,64.48904,-165.344432,TRUE,1.6,2,1,1,"98; 97; 96",2,0,0,0,"Currently monitored","Available","Available"
355,"Zappa Beach","St George","Bering Sea",1,"2018-08-27",0,NA,56.569117,-169.689712,56.592551,-169.693873,TRUE,0.9,1,1,1,"28; 27; 26",1,0,0,0,"Available","Available","Available"
268,"Polovina Beach","St Paul","Bering Sea",17,"2019-07-11",0,NA,57.157762,-170.1944286,57.154032,-170.206837,TRUE,1,2,1,1,"0; 0; 0",17,0,0,0,"Currently monitored","Available","Available"
180,"Lukanin South","St Paul","Bering Sea",17,"2019-07-11",0,NA,57.135803,-170.261906,57.141781,-170.25214,TRUE,1,2,1,1,"0; 0; 20",17,0,0,0,"Currently monitored","Available","Available"
212,"North Beach St Paul","St Paul","Bering Sea",17,"2019-06-28",0,NA,57.231715,-170.132272,57.226199,-170.147967,TRUE,1,2,1,1,"170; 169; 136",17,0,0,0,"Currently monitored","Available","Available"
155,"Kanakanak Beach","Dillingham","Bering Sea",0,"2009-09-06",0,NA,59.011884,-158.534114,59.024179,-158.527712,TRUE,1,1,1,1,"4; 3; 2",0,0,0,0,"Available","Available","Available"
381,"Sitka Historic Park","Sitka","Southeast Alaska",0,"2012-11-11",0,NA,57.048526,-135.319487,57.046097,-135.311711,TRUE,0.76,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
163,"Kruzof SE","Sitka","Southeast Alaska",0,"2014-07-18",0,NA,57.00681,-135.707765,57.130704,-135.56981,TRUE,0.5,1,1,1,"",0,0,0,0,"Available","Available","Available"
837,"Skagway River","Skagway","Southeast Alaska",0,"2017-04-30",0,NA,59.45382,-135.328,59.44998,-135.32934,TRUE,0.6,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
662,"Shelikof","Sitka","Southeast Alaska",0,"2015-05-11",0,NA,57.166373,-135.74698,57.15683,-135.745802,TRUE,1,1,1,1,"30",0,0,0,0,"Available","Available","Available"
162,"Kruzof Kamenoi","Sitka","Southeast Alaska",0,"2016-03-19",0,NA,57.12819,-135.572629,57.1309,-135.568651,TRUE,0.4,1,1,1,"999; 998; 998",0,0,0,0,"Available","Available","Available"
822,"Skagway Boat Harbor","Skagway","Southeast Alaska",12,"2019-06-29",0,NA,59.450897,-135.319921,59.450373,-135.318529,TRUE,0.1,2,1,1,"1",12,0,0,0,"Currently monitored","Available","Available"
290,"Sea Mart to Sandy","Sitka","Southeast Alaska",0,"2014-03-22",0,NA,57.065299,-135.365268,57.076877,-135.376137,TRUE,1,1,1,1,"",0,0,0,0,"Available","Available","Available"
379,"Buggy Beach","Ketchikan","Southeast Alaska",12,"2019-08-03",0,NA,55.310253,-131.581856,55.307046,-131.576231,TRUE,0.69,2,1,1,"",12,0,0,0,"Currently monitored","Available","Available"
129,"Halibut Point Rec","Sitka","Southeast Alaska",0,"2012-12-31",0,NA,57.104556,-135.401711,57.09803,-135.396453,TRUE,1,1,1,1,"",0,0,0,0,"Available","Available","Available"
384,"Sandy Beach - Douglas","Douglas","Southeast Alaska",0,"2018-04-08",0,NA,58.273651,-134.386293,58.267798,-134.375466,TRUE,0.97,2,1,1,"1; 999; 999",0,0,0,0,"Currently monitored","Available","Available"
475,"Cannon Beach South","Yakutat","Southeast Alaska",0,"2017-08-02",0,NA,59.486851,-139.714368,59.492022,-139.728298,TRUE,0.97,2,1,1,"1",0,0,0,0,"Currently monitored","Available","Available"
151,"John Brown's Beach","Sitka","Southeast Alaska",0,"2009-10-15",0,NA,57.05501,-135.370944,57.054722,-135.371361,TRUE,0.1,1,1,1,"",0,0,0,0,"Available","Available","Available"
378,"Shrine of St Terese","Juneau","Southeast Alaska",0,"2018-04-03",0,NA,58.473505,-134.787215,58.474867,-134.782891,TRUE,0.55,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
471,"Refuge Cove","Ketchikan","Southeast Alaska",0,"2012-08-22",0,NA,55.409136,-131.75987,55.419291,-131.767217,TRUE,1.86,1,1,1,"",0,0,0,0,"Available","Available","Available"
823,"Good River","Gustavus","Southeast Alaska",0,NA,0,NA,58.396572,-135.759954,58.397032,-135.738091,TRUE,1.3,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
875,"Sheep Creek","Juneau","Southeast Alaska",9,"2019-07-21",0,NA,58.26148,-134.32856,58.2627,-134.33256,TRUE,0.27,2,1,1,"1",9,0,0,0,"Currently monitored","Available","Available"
685,"Mendenhall River","Juneau","Southeast Alaska",0,"2018-03-24",0,NA,58.346146,-134.62276,58.340836,-134.635144,TRUE,1.3,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
